"Ngram","Freq"
"[う-か-。-そ]",18
"[う-こ-と-を]",18
"[か-っ-た-。]",18
"[が-あ-る-。]",18
"[が-っ-て-い]",18
"[が-少-な-い]",18
"[が-増-え-て]",18
"[し-い-生-活]",18
"[し-た-。-ま]",18
"[し-て-は-、]",18
"[し-て-み-て]",18
"[す-。-例-え]",18
"[せ-ん-が-、]",18
"[そ-の-中-で]",18
"[そ-も-そ-も]",18
"[っ-て-い-き]",18
"[っ-て-く-る]",18
"[と-し-て-は]",18
"[と-め-ま-し]",18
"[に-な-る-。]",18
"[に-よ-り-、]",18
"[に-取-り-組]",18
"[の-か-も-し]",18
"[の-で-す-が]",18
"[の-オ-ン-ラ]",18
"[の-影-響-で]",18
"[ま-し-ょ-う]",18
"[ま-す-。-T]",18
"[ま-す-の-で]",18
"[ま-せ-ん-が]",18
"[ま-と-め-ま]",18
"[め-て-い-ま]",18
"[ら-れ-る-。]",18
"[を-受-け-て]",18
"[を-読-ん-で]",18
"[オ-フ-ィ-ス]",18
"[タ-ク-シ-ー]",18
"[チ-ェ-ー-ン]",18
"[ボ-ッ-ト-を]",18
"[メ-デ-ィ-ア]",18
"[最-後-に-。]",18
"[新-し-い-生]",18
"[知-ら-な-い]",18
"[魅-力-的-な]",18
"[路-線-バ-ス]",18
"[2-0-1-8]",17
"[。-そ-れ-は]",17
"[。-新-型-コ]",17
"[「-地-元-愛]",17
"[う-こ-と-は]",17
"[え-て-い-く]",17
"[が-あ-る-こ]",17
"[き-や-す-い]",17
"[こ-と-が-多]",17
"[こ-と-が-大]",17
"[こ-と-に-な]",17
"[し-な-が-ら]",17
"[す-。-現-在]",17
"[す-い-環-境]",17
"[す-る-と-い]",17
"[そ-の-地-域]",17
"[た-。-ま-た]",17
"[た-だ-き-ま]",17
"[な-い-か-ら]",17
"[な-い-と-思]",17
"[に-つ-な-が]",17
"[に-ま-と-め]",17
"[の-か-と-い]",17
"[の-感-染-者]",17
"[の-魅-力-を]",17
"[は-、-新-型]",17
"[ま-す-。-2]",17
"[ま-す-。-一]",17
"[ま-す-。-最]",17
"[や-す-い-環]",17
"[よ-っ-て-は]",17
"[り-ま-す-か]",17
"[わ-れ-ま-す]",17
"[を-考-え-て]",17
"[を-利-用-し]",17
"[ア-ル-世-代]",17
"[イ-ベ-ン-ト]",17
"[ェ-ー-ン-店]",17
"[コ-ロ-ナ-禍]",17
"[チ-ェ-ッ-ク]",17
"[ッ-ト-ツ-ー]",17
"[ト-ツ-ー-ル]",17
"[ト-ワ-ー-ク]",17
"[ニ-ア-ル-世]",17
"[フ-ォ-ン-の]",17
"[ペ-ー-ン-」]",17
"[ャ-ッ-ト-ツ]",17
"[レ-ニ-ア-ル]",17
"[経-レ-ポ-ー]",17
"[合-わ-せ-て]",17
"[取-り-入-れ]",17
"[政-経-レ-ポ]",17
"[積-極-的-に]",17
"[対-し-て-、]",17
"[中-小-企-業]",17
"[鳥-取-県-民]",17
"[2-0-1-7]",16
"[、-自-分-の]",16
"[、-実-際-に]",16
"[。-こ-の-記]",16
"[「-新-し-い]",16
"[」-鳥-取-県]",16
"[あ-く-ま-で]",16
"[あ-ら-ゆ-る]",16
"[い-ま-せ-ん]",16
"[い-よ-う-に]",16
"[い-る-の-は]",16
"[か-し-、-こ]",16
"[く-必-要-が]",16
"[け-で-は-な]",16
"[こ-と-も-あ]",16
"[し-て-し-ま]",16
"[す-の-で-、]",16
"[せ-る-こ-と]",16
"[そ-ん-な-中]",16
"[た-こ-と-は]",16
"[た-と-い-う]",16
"[っ-て-は-、]",16
"[つ-い-て-、]",16
"[つ-い-て-考]",16
"[て-い-く-の]",16
"[で-な-く-、]",16
"[と-し-て-も]",16
"[と-考-え-る]",16
"[な-く-な-る]",16
"[な-の-で-、]",16
"[に-あ-る-と]",16
"[は-、-そ-の]",16
"[ま-す-。-現]",16
"[め-る-こ-と]",16
"[も-あ-り-、]",16
"[ら-か-ら-「]",16
"[を-支-え-る]",16
"[イ-ン-ト-還]",16
