"","Term","business","culture","datademirutottori","opinion","press_release","public","total"
"306","二",17,0,3,8,0,3,31
"307","販売",13,0,2,1,3,12,31
"308","非常",14,0,3,8,2,4,31
"309","米子",9,0,6,1,0,15,31
"310","別",4,0,23,1,1,2,31
"311","保育",4,0,3,0,0,24,31
"312","BUSINESS",5,1,10,1,6,7,30
"313","TBO",2,0,0,1,27,0,30
"314","いい",16,0,1,11,1,1,30
"315","システム",13,0,1,16,0,0,30
"316","家族",10,0,2,9,5,4,30
"317","具体",16,0,0,11,0,3,30
"318","最近",7,0,3,12,1,7,30
"319","参加",15,0,1,4,2,8,30
"320","世帯",6,0,4,0,0,20,30
"321","税金",26,0,1,2,0,1,30
"322","総務",6,0,17,3,0,4,30
"323","存在",8,1,6,10,3,2,30
"324","誰",15,0,0,10,4,1,30
"325","当社",30,0,0,0,0,0,30
"326","福利",29,0,0,1,0,0,30
"327","2019",9,0,3,8,1,8,29
"328","以下",7,0,8,2,2,10,29
"329","以外",10,0,7,7,0,5,29
"330","応援",2,0,1,4,2,20,29
"331","割",7,0,9,3,2,8,29
"332","共働き",3,0,8,0,0,18,29
"333","強い",8,0,12,7,2,0,29
"334","経営",22,0,1,3,0,3,29
"335","施設",6,0,3,3,2,15,29
"336","自身",12,0,1,12,1,3,29
"337","助成",6,0,2,3,0,18,29
"338","発信",16,1,6,2,0,4,29
"339","RESAS",1,0,27,0,0,0,28
"340","ロボット",27,0,0,1,0,0,28
"341","開発",12,0,0,9,7,0,28
"342","所得",12,0,9,5,0,2,28
"343","上昇",2,0,25,0,0,1,28
"344","睡眠",28,0,0,0,0,0,28
"345","注目",12,0,6,1,0,9,28
"346","都道府県",2,0,16,0,0,10,28
"347","名",10,0,0,15,1,2,28
"348","様式",1,0,0,6,0,21,28
"349","量",11,0,11,2,2,2,28
"350","悪い",16,0,6,4,1,0,27
"351","祭り",2,0,0,20,5,0,27
"352","作業",20,0,4,3,0,0,27
"353","事",16,0,2,5,1,3,27
"354","充実",14,0,1,2,2,8,27
"355","新た",11,1,0,8,4,3,27
"356","設立",4,0,0,18,5,0,27
"357","低い",4,0,11,10,0,2,27
"358","予定",8,0,2,4,5,8,27
"359","要素",18,0,4,3,0,2,27
"360","20",7,0,3,9,0,7,26
"361","メンバー",2,0,0,24,0,0,26
"362","一番",11,0,2,6,4,3,26
"363","希望",9,0,6,3,1,7,26
"364","現状",5,1,5,9,3,3,26
"365","自粛",6,0,0,6,1,13,26
"366","社員",15,0,0,9,2,0,26
"367","推進",10,1,4,7,1,3,26
"368","声",9,0,1,9,5,2,26
"369","説明",22,0,2,1,0,1,26
"370","達",1,1,1,22,1,0,26
"371","費",9,0,3,3,0,11,26
"372","評価",16,0,0,10,0,0,26
"373","料理",17,0,1,3,1,4,26
"374","8",6,0,6,4,0,9,25
"375","イノベーション",20,0,0,5,0,0,25
"376","タイプ",23,0,0,1,0,1,25
"377","デザイン",14,0,1,9,1,0,25
"378","愛",1,0,0,23,0,1,25
"379","開催",6,0,2,7,3,7,25
"380","管理",14,0,0,10,0,1,25
"381","原因",9,0,11,2,1,2,25
"382","購入",8,0,0,1,0,16,25
"383","国",12,0,1,5,1,6,25
"384","参考",13,0,4,3,0,5,25
"385","思考",19,0,1,5,0,0,25
"386","主",17,0,3,3,0,2,25
"387","手",7,2,3,8,1,4,25
"388","住民",7,0,4,8,4,2,25
"389","組織",6,0,0,19,0,0,25
"390","当たり",6,0,7,2,0,10,25
"391","枚",7,0,0,0,0,18,25
"392","面積",1,0,24,0,0,0,25
"393","理念",2,0,0,23,0,0,25
"394","000",3,0,1,15,0,5,24
"395","どれ",5,0,11,5,1,2,24
"396","ほしい",13,0,0,8,1,2,24
"397","意識",10,0,2,10,1,1,24
"398","革命",8,1,15,0,0,0,24
"399","緊急",10,0,0,7,0,7,24
"400","雇用",7,0,0,13,0,4,24
"401","工場",17,0,0,0,5,2,24
"402","国内",11,0,1,3,0,9,24
"403","最低",2,0,0,1,1,20,24
"404","場所",8,0,3,4,6,3,24
"405","食事",7,0,0,0,2,15,24
